rank,movie_title,imdbid,rtid
1,Avatar,0499549,665118753
2,Transformers: Revenge of the Fallen,,
3,Harry Potter and the Half-Blood Prince,0417741,770672988
4,The Twilight Saga: New Moon,1259571,770801331
5,Up,,
6,The Hangover,,
7,Star Trek,0796366,770673029
8,The Blind Side,0878804,770808362
9,Alvin and the Chipmunks: The Squeakquel,1231580,770805259
10,Sherlock Holmes,,
11,Monsters Vs. Aliens,,
12,Ice Age: Dawn of the Dinosaurs,1080016,770681481
13,X-Men Origins: Wolverine,0458525,770675725
14,Night at the Museum: Battle of the Smithsonian,1078912,770681480
15,2012,,
16,The Proposal,1041829,770785598
17,Fast and Furious,1013752,770685393
18,G.I. Joe: The Rise of Cobra,1046173,770677827
19,Paul Blart: Mall Cop,1114740,770782196
20,Taken,0968311,770810660
21,A Christmas Carol (2009),,
22,Angels &amp; Demons,,
23,Terminator Salvation,,
24,Cloudy with a Chance of Meatballs,0844471,770803219
25,Inglourious Basterds,0361748,770671947
26,G-Force,0436339,770796963
27,District 9,1136608,770805203
28,It's Complicated,1230414,770814954
29,Couples Retreat,1078940,770803584
30,Paranormal Activity,,771317783
31,Watchmen,,
32,The Princess and the Frog,0780521,770682608
33,Public Enemies,,
34,Julie &amp; Julia,1135503,770802777
35,He's Just Not That Into You,1001508,770679229
36,Tyler Perry's Madea Goes to Jail,,
37,The Ugly Truth,,
38,Up in the Air,1193138,770790933
39,Knowing,0448011,770782161
40,Hannah Montana The Movie,1114677,770680397
41,Where the Wild Things Are,,
42,Zombieland,1156398,770802740
43,Coraline,0327597,770680446
44,Law Abiding Citizen,1197624,770804709
45,Hotel for Dogs,0785006,770682080
46,Michael Jackson's This Is It,1477715,770814825
47,"I Love You, Man",,
48,Obsessed,,
49,Race to Witch Mountain,1075417,770685949
50,The Final Destination,1144884,770685807
51,The Taking of Pelham 1 2 3,1111422,770674198
52,Friday the 13th (2009),0758746,326391491
53,17 Again,0974661,770680214
54,The Time Traveler's Wife,0452694,770680255
55,Bruno,0889583,770771641
56,Bride Wars,0901476,770784043
57,The Haunting in Connecticut,0492044,770682442
58,Ghosts of Girlfriends Past,0821640,770683360
59,Funny People,1201167,770752737
60,Tyler Perry's I Can Do Bad All By Myself,,
61,My Bloody Valentine 3-D,1179891,770682876
62,Old Dogs,0976238,770785550
63,Land of the Lost,0457400,770683361
64,My Sister's Keeper,1078588,770785740
65,Precious: Based on the Novel &quot;Push&quot; by Sapphire,,
66,Underworld: Rise of the Lycans,0834001,770781881
67,Confessions of a Shopaholic,1093908,770679228
68,The Lovely Bones,0380510,770675616
69,Year One,1045778,770684022
70,The Unborn (2009),1139668,770783948
71,Planet 51,0762125,770782178
72,Drag Me to Hell,1127180,770785298
73,Orphan,1148204,770801898
74,Duplicity,1135487,770683997
75,Crazy Heart,1263670,770801608
76,Surrogates,0986263,770801542
77,Ninja Assassin,1186367,770780587
78,Invictus,1057500,770810965
79,State of Play,0473705,770770175
80,Notorious (2009),0472198,770781790
81,The Pink Panther 2,,
82,All About Steve,0881891,770680913
83,Halloween II (2009),1311067,770803688
84,The Informant!,1130080,770783635
85,The Last House on the Left (2009),,
86,The Men Who Stare at Goats,1234548,770790932
87,(500) Days of Summer,1022603,770801801
88,Under the Sea 3D,,
89,Earth (2009),,
90,Push,0465580,770680794
91,9,,
92,The Soloist,,
93,Toy Story / Toy Story 2 (3D),,
94,Did You Hear About the Morgans?,1314228,770805258
95,The Stepfather (2009),0814335,770798701
96,The Uninvited,,
97,Brothers,0765010,770790323
98,Saw VI,1233227,770797724
99,Dance Flick,1153706,770799335
100,The Fourth Kind,1220198,770814360
101,The International,,
102,Aliens in the Attic,0775552,770698400
103,Observe and Report,1197628,770801896
104,Fighting,1082601,770728101
105,Love Happens,0899106,770804718
106,Fame (2009),1016075,770805045
107,Fantastic Mr. Fox,0432283,770685760
108,Shorts,1100119,770789860
109,Gamer,1034032,770681197
110,Nine,,
111,Astro Boy,0375568,770681511
112,Jonas Brothers: The 3D Concert Experience,1229827,770801286
113,The Invention of Lying,1058017,770717076
114,Inkheart,,
115,Fired Up,,
116,The Hurt Locker,,
117,New in Town,1095174,770792389
118,Jennifer's Body,1131734,770783548
119,Imagine That,0780567,770681831
120,Adventureland,1091722,770684787
121,Armored,0913354,770785945
122,A Perfect Getaway,,
123,"The Goods: Live Hard, Sell Hard",1092633,770789347
124,Ponyo,,
125,The Box,0362478,770686237
126,I Love You Beth Cooper,1032815,770792408
127,Capitalism: A Love Story,1232207,770811421
128,Amelia,,
129,Cirque du Freak: The Vampire's Assistant,0450405,770767597
130,Crank: High Voltage,1121931,770740096
131,Whip It,1172233,770785797
132,An Education,1174732,770802627
133,12 Rounds,1160368,770685218
134,Sunshine Cleaning,,
135,Sorority Row,1232783,770798314
136,The Young Victoria,0962736,770802544
137,Extract,1225822,770791072
138,Not Easily Broken,0795438,770798019
139,Pandorum,1188729,770799661
140,Whiteout,0365929,770674765
141,The Boondock Saints II: All Saints Day,1300851,770807373
142,Next Day Air,1097013,770802045
143,Away We Go,1176740,770767570
144,Dragonball Evolution,1098327,770681828
145,A Serious Man,1019452,770785948
146,Everybody's Fine,0780511,770790132
147,A Single Man,1315981,770808473
148,Street Fighter: The Legend of Chun-Li,0891592,770781883
149,My Life in Ruins,0865559,770767577
150,The Road,0898367,770782192
151,Pirate Radio,1131729,770783550
152,The Collector,0844479,770811108
153,The Imaginarium of Doctor Parnassus,1054606,770683433
154,Taking Woodstock,1127896,770790009
155,3 Idiots,1187043,770802394
156,Post Grad,1142433,770684452
157,Coco Before Chanel,1035736,770805147
158,Whatever Works,1178663,770805111
159,Bandslam,0976222,770686249
160,Broken Embraces,0913425,770770202
161,Moon,,
162,Miss March,1151922,770802625
163,Bright Star,0810784,770768852
164,"Food, Inc.",,
165,Good Hair,1213585,770802637
166,The September Issue,,
167,The Brothers Bloom,,
168,Two Lovers,,
169,Cheri,1179258,770780774
170,Easy Virtue,,
171,Sin Nombre,,
172,My One and Only,1185431,770804197
173,Love Aaj Kal,,
174,In the Loop,,
175,Adam,1185836,770672879
176,The White Ribbon,1149362,770808692
177,Is Anybody There?,,770820077
178,Rudo Y Cursi,,
179,Valentino: The Last Emperor,,
180,Every Little Step,,
181,Bad Lieutenant: Port of Call New Orleans,1095217,770783617
182,Summer Hours,,
183,Battle for Terra,,
184,It Might Get Loud,1229360,770798062
185,"New York, I Love You",,
186,Departures,,
187,Kambakkht Ishq,1144804,770809871
188,I Hope They Serve Beer in Hell,,
189,X Games 3D The Movie,1440770,770813764
190,The Secrets of Jonathan Sperry,,
191,Kaminey,1274295,770812586
192,Paper Heart,1331064,770802830
193,Me and Orson Welles,,
195,"Yoo-Hoo, Mrs. Goldberg",1334479,770808368
196,The Messenger,0790712,770780130
197,Sugar,,
198,Paris,1155056,770685290
199,New York,1328634,770693694
200,More Than a Game,,
