rank,year,movie_title,imdbid,rtid,studio,total_gross,num_theaters_total,opening_revenue,num_theaters_opening,date_open,date_close
1,2003,The Lord of the Rings: The Return of the King,0167260,,NL,377027325,3703.0,72629713.0,3703.0,12/17,6/3
2,2003,Finding Nemo,0266543,9377,BV,339714978,3425.0,70251710.0,3374.0,5/30,12/18
3,2003,Pirates of the Caribbean: The Curse of the Black Pearl,0325980,10020,BV,305413918,3416.0,46630690.0,3269.0,7/9,1/8
4,2003,The Matrix Reloaded,0234215,13008,WB,281576461,3603.0,91774413.0,3603.0,5/15,11/13
5,2003,Bruce Almighty,0315327,10528,Uni.,242829261,3549.0,67953330.0,3483.0,5/23,12/11
6,2003,X2: X-Men United,0290334,10568,Fox,214949694,3749.0,85558731.0,3741.0,5/2,9/25
7,2003,Elf,0319343,10029,NL,173398518,3381.0,31113501.0,3337.0,11/7,3/4
8,2003,Terminator 3: Rise of the Machines,0181852,13049,WB,150371112,3504.0,44041440.0,3504.0,7/2,10/30
9,2003,The Matrix Revolutions,0242653,12920,WB,139313948,3502.0,48475154.0,3502.0,11/5,3/4
10,2003,Cheaper by the Dozen,0349205,10314,Fox,138614544,3307.0,27557647.0,3298.0,12/25,6/6
11,2003,Bad Boys II,0172156,13355,Sony,138608444,3202.0,46522560.0,3186.0,7/18,11/20
12,2003,Anger Management,0305224,13525,SonR,135645823,3656.0,42220847.0,3551.0,4/11,8/28
13,2003,Bringing Down the House,0305669,11496,BV,132716677,2910.0,31101026.0,2801.0,3/7,8/28
14,2003,Hulk,0286716,10309,Uni.,132177234,3674.0,62128420.0,3660.0,6/20,10/16
15,2003,2 Fast 2 Furious,0322259,10591,Uni.,127154901,3418.0,50472480.0,3408.0,6/6,10/23
16,2003,Something's Gotta Give,0337741,10126,Sony,124728738,2876.0,16064723.0,2677.0,12/12,4/29
17,2003,Seabiscuit,0329575,,Uni.,120277854,2573.0,20854735.0,1989.0,7/25,2/5
18,2003,S.W.A.T.,0257076,,Sony,116934650,3220.0,37062535.0,3202.0,8/8,12/11
19,2003,Spy Kids 3D: Game Over,0338459,10461,Dim.,111761982,3388.0,33417739.0,3344.0,7/25,2/5
20,2003,The Last Samurai,0325710,133039558,WB,111127263,2938.0,24271354.0,2908.0,12/5,4/8
21,2003,Freaky Friday,0322330,10349,BV,110230332,3067.0,22203007.0,2954.0,8/6,1/15
22,2003,Scary Movie 3,0306047,11195,Dim.,110003217,3505.0,48113770.0,3505.0,10/24,2/19
23,2003,The Italian Job,0317740,10189,Par.,106128601,2877.0,19457944.0,2633.0,5/30,11/6
24,2003,How to Lose a Guy in 10 Days,0251127,10435,Par.,105813373,2923.0,23774850.0,2923.0,2/7,7/24
25,2003,American Wedding,0328828,17033,Uni.,104565114,3175.0,33369440.0,3172.0,8/1,11/20
26,2003,Daddy Day Care,0317303,10928,SonR,104297061,3472.0,27623580.0,3370.0,5/9,10/19
27,2003,Daredevil,0287978,,Fox,102543518,3474.0,40310419.0,3471.0,2/14,7/17
28,2003,The Cat in the Hat,0312528,12422,Uni.,101149285,3467.0,38329160.0,3464.0,11/21,3/18
29,2003,Charlie's Angels: Full Throttle,0305357,17226,Sony,100830111,3485.0,37634221.0,3459.0,6/27,10/2
30,2003,Cold Mountain,0159365,12931,Mira.,95636509,2802.0,14574213.0,2163.0,12/25,7/1
